DateTime,AddedIPs,RemovedIPs
1613466075,161,96
1613469674,301,115
1613473275,59,96
1613476838,238,132
1613480465,388,106
1613484037,142,90
1613487641,386,99
1613491267,224,74
1613494842,163,88
1613498444,266,73
1613502043,361,80
1613505674,105,79
1613509243,27,87
1613512875,43,110
1613516475,25,78
1613520070,82,75
1613523675,193,87
1613527275,180,91
1613530837,137,77
1613534442,185,109
1613538075,95,97
1613541642,82,106
1613545275,38,101
1613548842,47,112
1613552439,36,113
1613556038,46,98
1613559642,44,93
1613563275,44,97
1613566842,41,103
1613570474,48,114
1613574075,60,137
1613577641,41,109
1613581242,37,85
1613584843,35,79
1613588442,39,88
1613592074,38,78
1613595638,43,47
1613599274,52,85
1613602840,47,94
1613606475,50,58
1613610069,44,78
1613613674,49,68
1613617274,48,65
1613620874,60,69
1613624474,55,90
1613628042,46,94
1613631642,50,103
1613635274,46,80
1613638868,72,97
1613642442,48,33
1613646041,62,94
1613649668,52,137
1613653267,41,58
1613656871,68,82
1613660474,53,388
1613664066,41,232
1613667670,42,224
1613671274,57,96
1613674841,45,72
1613678442,43,72
1613682073,57,69
1613685642,45,86
1613689274,38,73
1613692843,36,78
1613696473,38,65
1613700042,36,110
1613703673,52,55
1613707237,62,74
1613710871,60,56
1613714467,52,61
1613718042,55,72
1613721638,47,100
1613725237,53,130
1613728869,60,49
1613732474,52,89
1613736072,40,51
1613739674,44,80
1613743243,37,109
1613746869,30,69
1613750476,26,137
1613754042,37,89
1613757676,27,109
1613761276,39,84
1613764838,36,94
1613768465,38,93
1613772076,41,124
1613775676,39,105
1613779269,35,95
1613782837,23,92
1613786476,31,86
1613790042,40,93
1613793638,49,81
1613797244,59,108
1613800874,47,118
1613804441,45,110
1613808075,34,122
1613811677,27,95
1613815267,32,131
1613818843,30,132
1613822442,31,126
1613826075,124,97
1613829676,41,144
1613833242,18,126
1613836876,35,142
1613840475,25,133
1613844075,33,108
1613847676,28,116
1613851244,27,116
1613854838,41,82
1613858475,66,108
1613862044,56,109
1613865675,51,97
1613869240,58,99
1613872843,44,96
1613876471,37,96
1613880042,44,112
1613883640,41,104
1613887265,43,119
1613890843,46,130
1613894443,39,99
1613898039,45,121
1613901643,46,112
1613905243,37,156
1613908876,43,158
1613912443,52,199
1613916039,35,172
1613919676,41,151
1613923238,29,103
1613926877,48,157
1613930443,38,114
1613934044,41,89
1613937676,41,108
1613941275,41,165
1613944844,47,78
1613948477,31,119
1613952045,37,164
1613955676,41,120
1613959244,49,109
1613962844,44,144
1613966444,28,153
1613970071,51,162
1613973678,61,158
1613977243,39,161
1613980843,52,113
1613984443,54,130
1613988043,47,167
1613991676,45,145
