DateTime,AddedIPs,RemovedIPs
1613745259,23,44
1613746624,36,13
1613748322,36,35
1613748859,12,39
1613750409,30,33
1613751584,28,8
1613752459,25,33
1613754156,40,54
1613756060,45,46
1613757790,61,33
1613759660,52,52
1613760957,31,16
1613762720,48,28
1613763262,12,33
1613764551,34,21
1613766329,24,39
1613766859,11,44
1613768683,40,52
1613770461,50,57
1613771578,25,20
1613774059,57,88
1613775444,25,19
1613777660,34,91
1613780723,56,60
1613782223,31,73
1613784322,41,55
1613786370,43,121
1613788462,34,66
1613789577,30,23
1613791520,31,35
1613792059,5,78
1613794165,41,66
1613795664,22,99
1613797609,36,42
1613798720,19,5
1613800826,56,133
1613802861,44,79
1613804056,30,22
1613805482,71,51
1613806460,29,59
1613808384,60,83
1613809519,20,4
1613811017,34,69
1613813117,40,45
1613814618,38,70
1613817257,87,132
1613818406,32,25
1613820164,30,39
1613820860,16,39
1613822569,32,50
1613824459,35,58
1613826547,41,48
1613827988,32,42
1613829391,24,25
1613831125,36,40
1613832625,42,79
1613833858,21,30
1613836676,50,62
1613838070,30,37
1613838859,24,33
1613840191,32,25
1613841918,37,30
1613843423,30,55
1613844977,24,32
1613846060,25,61
1613848360,47,58
1613849659,27,47
1613852720,64,67
1613853259,13,69
1613855611,73,59
1613856860,21,52
1613858743,40,60
1613862865,102,88
1613864062,23,59
1613865181,22,17
1613867122,43,41
1613867661,10,41
1613869477,46,33
1613871258,58,913
1613874321,162,57
1613877923,148,113
1613878461,23,60
1613881519,226,58
1613883022,59,73
1613884669,49,93
1613885663,34,63
1613886864,50,18
1613888223,53,40
1613889258,28,74
1613892045,109,63
1613892860,30,39
1613894955,74,77
1613896458,110,58
1613898673,68,59
1613900079,51,68
1613902923,90,85
1613904043,48,89
1613906510,70,53
1613907257,21,48
1613910860,91,104
1613912184,39,17
1613913761,41,26
1613914460,25,40
1613917519,72,48
1613918963,43,54
1613920646,34,31
1613921656,20,40
1613923032,28,21
1613924718,48,29
1613925260,26,43
1613927028,43,44
1613928857,42,55
1613930539,36,54
1613932459,63,47
1613935523,89,46
1613937022,43,57
1613939154,57,27
1613940803,26,57
1613942722,67,34
1613943259,12,40
1613944555,25,12
1613946322,55,40
1613946859,15,37
1613948294,36,10
1613950460,46,71
1613953521,73,71
1613954059,19,37
1613957660,105,77
1613960379,72,47
1613961969,36,39
1613964023,60,34
1613964859,40,30
1613969420,141,77
1613970563,33,41
1613972060,51,46
1613973212,28,12
1613974424,46,31
1613975616,29,84
1613978305,70,100
1613979259,39,55
1613980414,45,2
1613982889,121,88
1613984110,52,15
1613985469,37,66
1613986457,26,58
1613987683,36,23
1613992615,141,118
