DateTime,AddedIPs,RemovedIPs
1613842262,61,51
1613843542,5,13
1613844076,54,78
1613845561,65,61
1613846045,25,77
1613847397,10,9
1613849319,85,80
1613849643,39,66
1613851260,16,12
1613851269,0,13343
1613853162,13365,11
1613853243,14,90
1613855056,31,12
1613857015,125,97
1613857576,39,370
1613858909,75,111
1613860847,65,77
1613862771,8,5
1613862976,93,314
1613864719,5,19
1613864782,35,74
1613865166,38,25
1613866764,247,0
1613867103,57,37
1613867644,14,63
1613868842,15,15
1613869462,58,50
1613870933,10,10
1613871244,202,74
1613872880,8,10
1613874724,13,15
1613875586,118,72
1613876693,13,11619
1613878288,11555,0
1613878565,15,11
1613879186,12,67
1613880732,11,10
1613881504,235,74
1613882645,11,21
1613883005,35,105
1613884596,14,6
1613884653,49,105
1613885646,23,74
1613886519,17,8
1613887287,42,26
1613888404,14,9
1613889243,115,135
1613890326,21,9
1613892283,106,91
1613892844,41,67
1613894164,10,10
1613895000,70,89
1613896118,9,8
1613896443,107,84
1613898015,11,19
1613899947,91,83
1613900063,40,83
1613901931,15,17
1613902272,62,101
1613903804,51,9
1613904603,65,106
1613905745,8,471
1613906496,67,59
1613907667,40,89
1613909553,209,0
1613910844,113,152
1613911725,30,18
1613913657,61,27
1613913748,92,43
1613914443,34,61
1613915600,4,6
1613916949,763,0
1613917446,9,4
1613917853,89,59
1613919644,7,11
1613919652,58,73
1613920631,57,42
1613921528,6,8
1613921643,29,58
1613923489,9,11
1613924156,45,791
1613925048,75,36
1613925366,14,4
1613925958,23,70
1613927529,71,100
1613928843,63,75
1613929447,12,6
1613930522,44,74
1613931396,10,9
1613932444,86,71
1613933527,9,5
1613935449,8,10
1613937395,131,72
1613937667,53,100
1613939562,71,62
1613940789,51,80
1613941703,8,14
1613942704,343,41
1613943850,27,64
1613944878,29,15
1613945769,13,9
1613946602,72,51
1613946844,20,107
1613947720,9,11
1613949603,51,29
1613950444,62,101
1613951562,13,9
1613953444,185,0
1613953506,102,74
1613954043,24,45
1613955400,6,10
1613957284,9,6
1613957644,124,115
1613959253,10,5
1613960362,89,54
1613961135,13,4
1613961984,49,52
1613963093,10,7
1613964006,79,41
1613964970,54,61
1613967132,11,11
1613969047,16,5
1613969404,176,106
1613970632,42,60
1613970999,12,9
1613972044,59,70
1613973130,17,10
1613973691,34,23
1613975047,8,4
1613975486,58,44
1613975588,43,100
1613977002,16,7
1613978275,96,89
1613978887,9,11
1613979243,35,62
1613980882,11,13
