DateTime,Entries,UniqueIPs
1612512005,3085,3085
1612515606,3110,3110
1612519206,3142,3142
1612522831,3156,3156
1612526416,3175,3175
1612530006,3185,3185
1612533607,3201,3201
1612537235,3233,3233
1612540821,3258,3258
1612544440,3283,3283
1612548006,3322,3322
1612551636,3365,3365
1612555211,3421,3421
1612558808,3462,3462
1612562412,3483,3483
1612566008,3484,3484
1612569606,3461,3461
1612573238,3459,3459
1612576813,3458,3458
1612580437,3459,3459
1612584037,3458,3458
1612587606,3460,3460
1612591223,3462,3462
1612594806,3462,3462
1612598436,3462,3462
1612602006,3464,3464
1612605639,3462,3462
1612609207,3463,3463
1612612826,3465,3465
1612616408,3481,3481
1612620021,3483,3483
1612623617,3484,3484
1612627225,3484,3484
1612630820,3482,3482
1612634407,3482,3482
1612638025,3478,3478
1612641606,3472,3472
1612645233,3472,3472
1612648835,3468,3468
1612652418,3462,3462
1612656027,3459,3459
1612659613,3458,3458
1612663230,3456,3456
1612666806,3463,3463
1612670415,3475,3475
1612674006,3462,3462
1612677609,3466,3466
1612681224,3465,3465
1612684807,3474,3474
1612688406,3464,3464
1612692015,3453,3453
1612695630,3451,3451
1612699230,3455,3455
1612702807,3458,3458
1612706413,3465,3465
1612710006,3466,3466
1612713608,3461,3461
1612717232,3476,3476
1612720807,3478,3478
1612724434,3480,3480
1612728006,3484,3484
1612731611,3487,3487
1612735239,3487,3487
1612738831,3489,3489
1612742428,3495,3495
1612746007,3492,3492
1612749613,3487,3487
1612753207,3483,3483
1612756835,3481,3481
1612760414,3486,3486
1612764010,3483,3483
1612767627,3483,3483
1612771214,3489,3489
1612774838,3491,3491
1612778440,3492,3492
1612782011,3477,3477
1612785607,3479,3479
1612789240,3471,3471
1612792808,3450,3450
1612796439,3445,3445
1612800016,3432,3432
1612803614,3435,3435
1612807236,3435,3435
1612810831,3440,3440
1612814415,3440,3440
1612818010,3435,3435
1612821612,3428,3428
1612825219,3428,3428
1612828821,3420,3420
1612832418,3419,3419
1612836028,3416,3416
1612839623,3406,3406
1612843236,3397,3397
1612846833,3393,3393
1612850431,3389,3389
1612854024,3382,3382
1612857620,3380,3380
1612861236,3379,3379
1612864839,3376,3376
1612868415,3360,3360
1612872020,3357,3357
1612875620,3350,3350
1612879227,3343,3343
1612882805,3338,3338
1612886423,3331,3331
1612890006,3327,3327
1612893630,3324,3324
1612897229,3322,3322
1612900807,3322,3322
1612904429,3321,3321
1612908028,3317,3317
1612911618,3314,3314
1612915229,3308,3308
1612918815,3319,3319
1612922408,3316,3316
1612926036,3275,3275
1612929607,3247,3247
1612933231,3204,3204
1612936807,3168,3168
1612940406,3150,3150
1612944029,3134,3134
1612947607,3123,3123
1612951239,3111,3111
1612954838,3096,3096
1612958413,3077,3077
1612962041,3061,3061
1612965607,3041,3041
1612969224,3013,3013
1612972828,2996,2996
1612976431,2972,2972
1612980006,2953,2953
1612983639,2936,2936
1612987225,2903,2903
1612990836,2878,2878
1612994420,2840,2840
1612998034,2812,2812
1613001622,2782,2782
1613005207,2746,2746
1613008822,2710,2710
1613012440,2681,2681
1613016016,2613,2613
1613019619,2571,2571
1613023233,2557,2557
1613026835,2545,2545
1613030438,2529,2529
1613034033,2512,2512
1613037627,2516,2516
1613041214,2503,2503
1613044835,2485,2485
1613048441,2485,2485
1613052012,2475,2475
1613055613,2453,2453
1613059206,2425,2425
1613062806,2402,2402
1613066437,2362,2362
1613070014,2315,2315
1613073621,2279,2279
1613077206,2235,2235
1613080812,2193,2193
1613084430,2144,2144
1613088009,2096,2096
1613091611,2047,2047
1613095206,1985,1985
1613098806,1931,1931
1613102418,1866,1866
1613106009,1795,1795
1613109607,1743,1743
1613113212,1712,1712
1613116818,1670,1670
1613120426,1648,1648
1613124039,1608,1608
1613127626,1585,1585
1613131238,1567,1567
1613134822,1559,1559
1613138426,1528,1528
1613142030,1496,1496
1613145639,1462,1462
1613149206,1431,1431
1613152838,1384,1384
1613156412,1332,1332
1613160032,1267,1267
1613163605,1217,1217
1613167210,1172,1172
1613170810,1165,1165
1613174407,1171,1171
1613178005,1177,1177
1613181638,1190,1190
1613185239,1196,1196
1613188835,1204,1204
1613192406,1202,1202
1613196006,1200,1200
1613199607,1209,1209
1613203235,1206,1206
1613206838,1201,1201
1613210432,1199,1199
1613214026,1198,1198
1613217613,1198,1198
