DateTime,AddedIPs,RemovedIPs
1613789799,117,106
1613792569,52,58
1613793415,58,52
1613794806,52,58
1613796313,100,110
1613799369,61,44
1613799983,44,61
1613800858,61,44
1613801527,44,61
1613803687,61,44
1613804417,80,87
1613809450,39,53
1613810208,118,82
1613811916,82,118
1613812598,118,82
1613813324,37,35
1613815492,35,37
1613816921,37,35
1613818363,109,76
1613820524,45,59
1613821241,59,45
1613821968,45,59
1613822691,59,45
1613823420,45,59
1613825565,116,82
1613828452,52,39
1613830601,39,52
1613831321,52,39
1613833492,101,106
1613834444,57,52
1613835162,52,57
1613835916,57,52
1613837323,52,57
1613838282,57,52
1613839736,96,78
1613840462,78,96
1613841165,96,78
1613842602,53,55
1613844122,33,16
1613844760,16,33
1613845566,33,16
1613846201,30,45
1613846923,116,102
1613848364,56,37
1613850523,37,56
1613852681,56,37
1613853403,37,56
1613854143,130,123
1613854849,102,90
1613855558,90,102
1613858448,51,62
1613859884,62,51
1613861320,123,153
1613862777,54,47
1613863482,47,54
1613865843,54,47
1613867653,47,54
1613868490,54,47
1613869930,93,123
1613871524,44,43
1613872335,43,44
1613873058,44,43
1613873798,43,44
1613874488,44,43
1613875211,43,44
1613875925,106,114
1613877398,41,69
1613878121,69,41
1613881011,41,69
1613882439,69,41
1613883071,120,145
1613884600,53,33
1613886250,33,53
1613887732,53,33
1613889041,33,53
1613889851,104,91
1613890567,81,74
1613891357,74,81
1613892727,46,35
1613893633,35,46
1613897563,110,91
1613898291,83,91
1613899029,114,97
1613899726,44,53
1613900442,53,44
1613901936,44,53
1613903322,53,44
1613905750,116,95
1613907164,50,43
1613907880,43,50
1613910770,50,43
1613911730,98,78
1613914119,43,56
1613915606,56,43
1613916423,43,56
1613917030,56,43
1613918442,43,56
1613919159,90,107
1613920571,62,42
1613926360,76,56
1613927093,56,76
1613927813,132,101
1613929237,81,92
1613930691,92,81
1613931401,56,49
1613932364,49,56
1613934522,65,65
1613935238,72,90
1613936682,67,43
1613939081,43,67
1613939805,105,108
1613940562,108,105
1613941256,141,140
1613943403,23,30
1613944120,30,23
1613945564,23,30
1613947005,30,23
1613947725,23,30
1613950151,112,145
1613954004,42,40
1613956125,40,42
1613957806,127,102
1613959961,22,28
1613961647,28,22
1613963802,99,130
1613966693,37,28
1613968125,28,37
1613968845,37,28
1613970314,28,37
1613971003,118,113
1613971724,34,29
1613973401,29,34
1613974152,34,29
1613974843,29,34
1613975566,34,29
1613977722,71,132
1613978444,132,71
1613979163,85,119
1613979893,15,42
1613982043,42,15
1613983487,15,42
1613984929,42,15
1613985641,99,97
1613987084,27,27
1613987815,27,27
1613990684,27,27
1613992123,83,59
