DateTime,AddedIPs,RemovedIPs
1612062089,2,2
1612065672,3,2
1612069271,2,41
1612072871,1,2
1612076476,1,2
1612080076,0,1
1612083676,1,1
1612087277,1,0
1612090871,0,1
1612094471,1,0
1612098076,0,1
1612101672,1,2
1612105277,49,5
1612108891,0,3
1612116080,1,1
1612123277,0,2
1612126891,6,6
1612130490,38,29
1612134092,3,2
1612137692,4,1
1612141292,2,1
1612144890,1,3
1612148492,19,1
1612152086,47,2
1612155691,38,2
1612159304,10,0
1612162902,2,1
1612166491,1,0
1612170103,0,1
1612173693,4,30
1612177291,3,9
1612180891,1,2
1612184500,1,2
1612188101,2,2
1612191704,0,1
1612195304,0,3
1612198900,1,1
1612202501,3,1
1612206103,38,1
1612209606,4,5
1612213237,3,1
1612216809,6,0
1612220415,1,0
1612224008,6,3
1612227629,2,4
1612231205,4,2
1612234834,6,3
1612238410,1,0
1612242018,1,1
1612245622,2,2
1612249206,1,1
1612252805,1,0
1612256427,1,0
1612260012,0,2
1612263636,1,3
1612267213,0,1
1612270829,1,25
1612274410,0,7
1612285220,2,0
1612288810,2,0
1612292416,0,2
1612296034,1,2
1612299605,35,4
1612303213,3,2
1612306805,3,3
1612310405,2,2
1612314029,3,1
1612317609,1,5
1612321205,0,2
1612324834,0,1
1612328405,2,0
1612332022,2,2
1612335614,1,2
1612339237,1,1
1612342804,0,2
1612346438,2,9
1612350008,1,1
1612353607,1,3
1612357210,3,31
1612360837,4,5
1612364437,1,1
1612368006,2,3
1612371611,0,2
1612375210,2,1
1612378822,1,0
1612382405,2,5
1612386028,0,2
1612389605,1,1
1612393237,5,3
1612396810,4,2
1612400432,2,1
1612404012,5,3
1612407606,38,1
1612411209,1,1
1612414809,1,4
1612418405,2,2
1612422007,21,2
1612425636,13,0
1612429232,3,1
1612432813,3,2
1612440010,0,3
1612443606,2,1
1612447205,2,1
1612450838,2,0
1612454430,1,1
1612458036,2,1
1612461630,2,36
1612465209,1,5
1612468830,2,6
1612472406,3,0
1612476016,4,0
1612479609,0,3
1612483231,1,2
1612486806,0,1
1612490437,1,2
1612494011,0,2
1612497611,3,0
1612501211,40,3
1612504806,1,2
1612508429,2,1
1612512006,3,2
1612515612,1,1
1612519209,4,1
1612522829,1,0
1612530006,1,0
1612533630,0,1
1612537206,0,5
1612540805,2,1
1612544413,1,2
1612548020,0,1
1612555213,1,0
1612558805,1,3
1612562434,2,0
1612566018,5,2
1612569630,3,4
1612573235,3,3
1612580436,1,1
1612584006,1,1
1612587633,1,2
1612594830,1,2
1612598410,1,1
1612602011,2,1
1612605639,2,3
1612609210,1,49
1612612831,1,1
1612616411,1,0
1612620032,1,0
1612623611,4,1
1612627212,1,2
1612630834,0,1
1612634434,1,1
1612638036,1,0
1612641606,4,1
1612645230,2,0
1612648816,11,2
1612652437,36,1
1612656025,6,4
1612663218,0,1
1612666831,2,1
1612670409,1,3
1612674006,0,2
1612681237,1,2
1612688409,2,4
1612692014,1,0
1612695636,1,0
1612702809,0,3
1612706423,0,3
1612710034,0,40
1612713605,1,0
1612720811,5,1
1612724406,2,0
1612728011,1,1
1612731615,6,5
1612735213,40,38
1612738806,1,4
1612742424,1,3
1612746016,32,4
1612749631,2,1
1612753238,6,12
1612756828,0,49
1612760406,1,44
1612764031,0,11
1612771237,0,3
1612778426,1,2
1612782012,2,2
1612785606,1,2
1612789238,1,0
1612792807,0,1
1612800007,2,3
1612803615,4,0
1612810805,1,43
1612814406,4,2
1612818020,2,3
1612821617,5,3
1612825210,0,2
1612828805,2,3
1612832431,2,2
1612836039,48,0
1612839612,1,2
1612843240,2,6
1612846819,36,2
1612850414,0,1
1612854010,0,1
1612857612,1,1
1612861206,0,1
1612864812,0,1
1612868439,3,1
1612872032,1,1
1612879220,1,0
1612882822,0,1
1612890035,1,1
1612893626,2,0
1612897239,1,0
1612900831,6,3
1612904429,0,33
1612908006,0,1
1612911610,3,1
1612915227,1,3
1612918825,0,3
1612922431,0,1
1612926036,1,2
1612929640,3,2
1612933234,9,0
1612936808,6,4
1612940430,6,3
1612944025,4,1
1612947615,13,0
1612951214,33,2
1612954833,5,0
1612958407,1,1
1612962038,6,1
1612965618,1,2
1612969240,2,2
1612972840,2,1
1612976430,2,0
1612980006,1,0
1612983634,1,1
1612987226,1,3
1612990821,2,0
1612994411,3,3
1612998008,0,3
1613001635,1,1
1613005208,3,3
1613008806,2,1
1613012439,1,36
1613016012,6,1
1613019613,3,3
1613023214,1,3
1613026835,3,2
1613030439,5,0
1613037606,3,4
1613041217,29,1
1613044811,0,8
1613048439,1,29
1613052006,0,1
1613055615,3,2
1613059212,1,0
1613062809,2,0
1613066437,0,2
1613070009,1,0
1613077214,4,4
1613080807,2,2
1613084409,4,6
1613088036,2,2
1613091624,2,1
1613095232,4,2
1613098824,5,0
1613102432,1,2
1613106005,4,32
1613109632,0,1
1613113206,4,0
1613116830,0,4
1613120420,1,0
1613124040,3,1
1613127639,1,2
1613134805,0,1
1613138412,0,2
1613145615,1,2
1613149238,2,2
1613152806,1,2
1613156436,2,0
1613160036,3,1
1613163637,4,2
1613167238,7,1
1613170812,5,5
1613174422,6,2
1613178030,2,3
1613181627,2,0
1613185234,4,0
1613188813,5,2
1613192422,14,1
1613196011,11,0
1613199624,4,1
1613203206,24,0
1613206827,6,2
1613210438,1,3
1613214039,1,0
1613221220,1,2
1613228439,1,1
1613232026,0,1
1613235605,1,1
1613239210,1,2
1613242838,3,2
1613246415,0,2
1613250035,1,1
1613253630,0,9
1613257238,9,33
1613260815,5,2
1613264406,3,1
1613268006,5,1
1613271608,3,1
1613275206,4,2
1613278807,0,8
1613282440,2,0
1613286019,26,2
1613289606,18,0
1613293238,27,1
1613296826,9,3
1613300440,2,0
1613304010,6,0
1613307627,4,0
1613311238,5,0
1613314825,1,2
1613318406,3,0
1613322022,0,1
1613325606,2,5
1613329217,4,1
1613332814,5,3
1613336405,3,2
1613340011,26,20
1613347205,0,1
1613350827,2,27
1613354414,6,2
1613358006,5,5
1613361605,1,3
1613365206,3,0
1613368837,4,0
1613372407,1,1
1613376034,0,1
1613379615,1,0
1613383239,1,0
1613386841,0,1
1613390407,1,0
1613397606,37,2
1613401239,8,1
1613404837,0,4
1613408426,1,1
1613412006,1,2
1613415615,1,2
1613422842,4,2
1613426440,0,2
1613430025,2,2
1613433625,1,4
1613437244,2,0
1613440832,1,38
1613444432,0,5
1613448038,2,0
1613451621,0,53
1613462439,1,1
1613466018,1,0
1613469608,0,2
1613473221,0,2
1613476839,2,1
1613480418,1,1
1613484006,1,3
1613487632,1,0
1613491206,2,0
1613494808,1,3
1613498412,48,1
1613502039,7,1
1613505620,13,2
1613509234,1,2
1613512823,0,2
1613516433,4,1
1613520038,2,1
1613523638,0,3
1613527239,1,1
1613530839,0,3
1613534407,0,1
1613538010,0,2
1613541613,0,1
1613545216,9,1
1613548806,5,0
1613552417,3,12
1613556008,0,25
1613559639,1,1
1613563207,1,2
1613566835,3,1
1613570414,3,1
1613574007,3,1
1613584815,1,0
1613592034,42,1
1613595624,7,1
1613599222,1,1
1613602808,2,0
1613606435,2,1
1613610006,0,4
1613613630,1,4
1613617221,4,0
1613620834,1,1
1613624433,4,2
1613628022,1,0
1613631635,0,2
1613635230,0,3
1613638840,0,2
1613642415,0,3
1613646028,0,40
1613653207,3,1
1613656841,2,2
1613660428,5,2
1613664007,0,4
1613667614,5,4
1613671214,0,1
1613682033,1,1
1613685607,3,2
1613689227,2,2
1613692838,2,3
1613696438,1,3
1613700021,2,3
1613703623,2,2
1613707215,31,3
1613710818,7,2
1613714407,1,1
1613718030,0,3
1613721628,2,1
1613725208,1,2
1613728806,0,9
1613732415,5,2
1613736035,9,1
1613739613,9,1
1613743213,9,0
1613746836,8,0
1613750411,8,3
1613754025,2,3
1613757619,5,2
1613761240,3,0
1613764814,7,0
1613768434,0,2
1613772008,4,3
1613775613,4,6
1613779209,3,5
1613782812,3,1
1613786420,2,2
1613790021,1,6
1613793607,1,3
1613797207,4,3
1613800828,3,10
1613804439,1,2
1613808034,8,36
1613811613,7,13
1613815241,2,3
1613818843,5,10
1613822432,3,1
1613826013,3,1
1613829633,1,0
1613833242,1,0
1613836819,0,2
1613840409,1,0
1613844037,4,2
1613847632,2,2
1613851226,2,1
1613854807,1,1
1613858406,3,1
1613862036,3,1
1613865625,14,3
1613869220,34,2
1613872824,3,3
1613876407,1,2
1613880042,0,1
1613883627,0,1
1613887213,1,0
1613890839,0,2
1613894407,0,11
1613898020,1,34
1613901642,2,3
1613905216,0,1
1613908806,0,4
1613912444,1,3
1613916044,0,10
1613919619,2,10
1613923230,0,14
1613926816,1,17
1613930429,1,8
1613934030,3,1
1613937622,2,2
1613941242,2,6
1613944824,34,40
1613948440,4,1
1613952041,1,1
1613955606,1,1
1613959228,0,2
1613962829,3,4
1613966429,1,1
1613970027,0,2
1613973614,0,12
1613977231,0,10
1613980808,0,5
1613984409,2,2
1613988009,1,1
1613991623,0,1
