DateTime,AddedIPs,RemovedIPs
1612339659,389,387
1612344946,32,24
1612347122,375,374
1612350241,352,347
1612350962,374,375
1612354548,245,0
1612354802,543,544
1612355843,34,20
1612359953,0,506
1612361041,339,339
1612366322,195,197
1612366818,17,16
1612371841,283,288
1612376468,0,251
1612377842,181,162
1612382641,271,272
1612383702,0,234
1612385522,102,109
1612388841,22,22
1612393441,278,280
1612397043,101,104
1612397471,29,33
1612399951,23,26
1612404241,446,449
1612404722,981,960
1612410962,34,27
1612415249,414,414
1612420323,822,823
1612421895,29,18
1612426012,357,357
1612431843,458,456
1612432959,38,26
1612436641,349,362
1612443362,432,435
1612443873,23,57
1612444503,0,254
1612447441,317,315
1612449057,250,0
1612454882,236,278
1612458241,288,285
1612458722,70,69
1612465900,18,45
1612469041,248,254
1612470242,162,163
1612476914,25,50
1612479841,379,378
1612481763,94,97
1612483889,14,19
1612487965,28,64
1612490770,586,586
1612493282,970,960
1612499033,23,43
1612501609,463,456
1612504813,812,798
1612510058,30,25
1612512472,386,381
1612516323,490,492
1612521118,19,38
1612523041,301,291
1612527842,331,337
1612532150,27,37
1612533841,267,1016
1612539362,261,264
1612543148,38,28
1612544641,317,304
1612550882,167,170
1612554210,24,36
1612555580,294,292
1612562413,119,118
1612565306,27,19
1612566241,419,417
1612569711,29,17
1612573923,112,110
1612576326,27,20
1612577041,737,742
1612585443,983,970
1612587322,12,15
1612587841,405,403
1612596962,622,615
1612598388,33,19
1612598742,426,427
1612608722,426,423
1612609441,26,33
1612610185,380,380
1612616413,286,286
1612620242,50,51
1612620420,327,350
1612624083,51,305
1612627922,50,51
1612631557,317,323
1612632003,187,195
1612635842,67,65
1612639682,65,67
1612640770,0,510
1612642427,21,40
1612643524,164,165
1612646523,0,246
1612653399,25,41
1612655043,125,129
1612656980,20,41
1612657807,0,255
1612664330,33,61
1612666877,296,974
1612675413,25,54
1612678321,928,240
1612686320,21,56
1612689842,568,562
1612697077,14,75
1612701362,356,355
1612708076,21,72
1612709042,230,230
1612711187,253,0
1612716722,68,71
1612718855,25,62
1612724412,188,187
1612729899,22,61
1612731668,0,255
1612736162,160,161
1612740930,21,76
1612742481,16,26
1612743842,114,116
1612751522,977,982
1612751993,14,68
1612763042,831,870
1612774071,20,103
1612774564,501,500
1612785157,27,104
1612789923,308,308
1612793041,895,885
1612796077,22,107
1612797602,281,280
1612801445,1,1
1612805523,1,1
1612807262,16,116
1612809363,163,164
1612814641,2827,2801
1612818157,10,125
1612820883,94,94
1612825581,904,902
1612829312,21,122
1612830604,22,30
